,t_5,rt_5,t_4,rt_4,t_3,rt_3,t_2,rt_2,t_1,rt_1,t_0,rt0,t1,rt1,t2,rt2,t3,rt3,t4,rt4,t5,rt5,avg_sent,sent_val,D0
0,2012-12-28,0.004194549490173616,2012-12-29,-0.006057249262370612,2012-12-30,0.0053095497335025055,2012-12-31,0.007477764333724046,2013-01-01,-0.015811907452020768,2013-01-02,-0.0038079059830948836,2013-01-03,0.007791386111605014,2013-01-04,0.005053765022690948,2013-01-05,0.0005713482384457347,2013-01-06,0.0033500541196445077,2013-01-07,0.003818368932323679,0.1027,pos,1
1,2013-01-17,0.06056547144247171,2013-01-18,0.00751294258679458,2013-01-19,-0.0081233406025496,2013-01-20,0.00843371000522386,2013-01-21,0.06752257782056326,2013-01-22,0.030937293011358058,2013-01-23,0.01365399666464806,2013-01-24,-0.036228046605530584,2013-01-25,0.029945765312431094,2013-01-26,0.008411871511129876,2013-01-27,0.01771706782920046,-0.4404,neg,0
2,2013-01-27,0.01771706782920046,2013-01-28,0.052037851487840125,2013-01-29,0.03833346590690234,2013-01-30,0.011413567125179602,2013-01-31,0.03922474657144792,2013-02-01,-0.0033420567243321875,2013-02-02,-0.03948474391551793,2013-02-03,0.04802621198341783,2013-02-04,-0.0067278355411551916,2013-02-05,0.010707022583390069,2013-02-06,0.02658461879834828,0.3182,pos,1
3,2013-02-14,0.10716566404198447,2013-02-15,-0.004072978647765124,2013-02-16,0.006436737694202055,2013-02-17,-0.015318864915547126,2013-02-18,6.002323236442564e-05,2013-02-19,0.09227111875651417,2013-02-20,0.013809343643442107,2013-02-21,-5.829386463596098e-05,2013-02-22,0.021952716604353828,2013-02-23,-0.02186228778079946,2013-02-24,0.0025630001181424777,0.3182,pos,1
4,2013-02-24,0.0025630001181424777,2013-02-25,0.015700799162131185,2013-02-26,0.026472831430572663,2013-02-27,0.0027193795878623916,2013-02-28,0.06834234989017873,2013-03-01,0.03688246461207001,2013-03-02,-0.013371602414070649,2013-03-03,0.009027323406789245,2013-03-04,0.055861467059517,2013-03-05,0.11811791864635701,2013-03-06,0.0642206168640509,0.4939,pos,1
5,2013-03-03,0.009027323406789245,2013-03-04,0.055861467059517,2013-03-05,0.11811791864635701,2013-03-06,0.0642206168640509,2013-03-07,-0.03090113404772632,2013-03-08,0.04661758061404053,2013-03-09,0.06800588869889945,2013-03-10,-0.01754260925140727,2013-03-11,0.047953681108592106,2013-03-12,-0.07999012643325332,2013-03-13,0.05860026661321527,0.3612,pos,1
6,2013-03-10,-0.01754260925140727,2013-03-11,0.047953681108592106,2013-03-12,-0.07999012643325332,2013-03-13,0.05860026661321527,2013-03-14,-0.0019275976295420882,2013-03-15,-0.0004911034512734558,2013-03-16,0.005426114987046038,2013-03-17,0.0037424777955750166,2013-03-18,0.08518145976794234,2013-03-19,0.15833925089656842,2013-03-20,0.07040307349277586,-0.25,neg,0
7,2013-03-19,0.15833925089656842,2013-03-20,0.07040307349277586,2013-03-21,0.11352370800283973,2013-03-22,-0.01510826080651706,2013-03-23,-0.07821437961889532,2013-03-24,0.11349726835023977,2013-03-25,0.03659714769617595,2013-03-26,0.05786396934781046,2013-03-27,0.13022943458359348,2013-03-28,-0.013268186339859711,2013-03-29,0.02991251803658579,0.128,pos,1
8,2013-03-31,0.018540830639803163,2013-04-01,0.08003118548641486,2013-04-02,0.08925406895744348,2013-04-03,0.13237797776991944,2013-04-04,0.005074500225147993,2013-04-05,0.09293895116907014,2013-04-06,0.0032559441960464675,2013-04-07,0.14306374040929293,2013-04-08,0.14421660426554794,2013-04-09,0.24367041842976866,2013-04-10,-0.30437968469859644,0.21705,pos,1
9,2013-04-05,0.09293895116907014,2013-04-06,0.0032559441960464675,2013-04-07,0.14306374040929293,2013-04-08,0.14421660426554794,2013-04-09,0.24367041842976866,2013-04-10,-0.30437968469859644,2013-04-11,-0.4959275208092052,2013-04-12,0.3942698482486606,2013-04-13,-0.145763732069904,2013-04-14,-0.08445518096172644,2013-04-15,-0.08803352520127461,-0.4404,neg,0
