time,btc,ada,algo,ant,bat,bch,bnb,bsv,btg,busd,cro,cvc,dai,dash,dcr,dgb,doge,drgn,elf,eos_eth,etc,eth,ftt,fun,fxc,gas,gno,gnt,gusd,hedg,ht,husd,knc,lend,leo_eos,leo_eth,link,loom,lpt,ltc,maid,mana,matic_eth,mkr,neo,nxm,omg,pax,paxg,pay,poly,powr,ppt,qash,qnt,ren,rep,sai,snt,snx,trx_eth,tusd,usdc,usdk,usdt,vtc,wtc,xem,xrp,xtz,xvg,zec,zrx
2015-04-20,71.48524344,,,,,,,,,,,,,96.66213075,,256.80804108,98.96131309,,,,,,,,,,,,,,,,,,,,,,,54.25874403,3208.8633218,,,,,,,,,,,,,,,,,,,,,,,,3584.244753174221,87.43117191,,154.86342998,728.202982345804,,342.92177632,,
2015-04-21,61.46221103,,,,,,,,,,,,,91.13682447,,230.82641551,74.83677722,,,,,,,,,,,,,,,,,,,,,,,66.11963631,1527.58760924,,,,,,,,,,,,,,,,,,,,,,,,16330.504963650816,95.92497982,,187.33866575,753.211601440475,,43.87300566,,
2015-04-22,66.60310666,,,,,,,,,,,,,53.01529097,,233.0253051,81.89062835,,,,,,,,,,,,,,,,,,,,,,,60.37341718,922.86254509,,,,,,,,,,,,,,,,,,,,,,,,20.641219958094,220.53134601,,438.2890386,431.747776853135,,17.57021195,,
2015-04-23,70.37333178,,,,,,,,,,,,,77.74031868,,169.47816509,74.51951124,,,,,,,,,,,,,,,,,,,,,,,58.3609586,501.93253477,,,,,,,,,,,,,,,,,,,,,,,,160.923882623071,158.70714189,,158.37783192,146.974937095848,,13.76483081,,
2015-04-24,69.67004463,,,,,,,,,,,,,97.74745378,,68.91379139,53.9071448,,,,,,,,,,,,,,,,,,,,,,,30.56706313,350.43306342,,,,,,,,,,,,,,,,,,,,,,,,20.648206151676,187.02326479,,71.54273959,602.820623697582,,215.33850518,,
2015-04-25,92.49178634,,,,,,,,,,,,,158.63681405,,79.91038329,97.30452566,,,,,,,,,,,,,,,,,,,,,,,73.11377067,1210.88793159,,,,,,,,,,,,,,,,,,,,,,,,1089.130340677893,105.67570105,,180.53816007,1587.21352563186,,316.07396025,,
2015-04-26,79.7119319,,,,,,,,,,,,,80.65281782,,355.30840978,77.52061762,,,,,,,,,,,,,,,,,,,,,,,59.69234524,70.40426378,,,,,,,,,,,,,,,,,,,,,,,,,110.07625351,,305.34701988,924.705991830693,,55.60189186,,
2015-04-27,55.25877142,,,,,,,,,,,,,115.23218676,,500.0054147,84.69195306,,,,,,,,,,,,,,,,,,,,,,,45.49250869,10704.45897296,,,,,,,,,,,,,,,,,,,,,,,,12.369015444678,230.46680127,,129.4707482,608.586075191559,,182.25068681,,
2015-04-28,63.83742647,,,,,,,,,,,,,114.11322121,,250.54038701,97.41027197,,,,,,,,,,,,,,,,,,,,,,,53.54145226,4299.86709486,,,,,,,,,,,,,,,,,,,,,,,,10.602681793604,118.97504513,,263.82093654,976.252060364595,,274.12654163,,
2015-04-29,65.8714874,,,,,,,,,,,,,72.77896934,,502.91541885,110.17048137,,,,,,,,,,,,,,,,,,,,,,,55.17901872,657.7557676,,,,,,,,,,,,,,,,,,,,,,,,8989.290877348883,149.46342533,,436.52645985,600.757340417,,234.00540091,,
2015-04-30,64.93826425,,,,,,,,,,,,,62.29185271,,94.20681379,47.63757835,,,,,,,,,,,,,,,,,,,,,,,48.39815135,11648.41090319,,,,,,,,,,,,,,,,,,,,,,,,1068.517868358301,194.36536084,,1189.73047977,612.673311796574,,72.65105174,,
2015-05-01,62.61232756,,,,,,,,,,,,,127.70522428,,90.59579338,61.07269273,,,,,,,,,,,,,,,,,,,,,,,69.83028003,345.76391758,,,,,,,,,,,,,,,,,,,,,,,,84671.72543207483,200.62659168,,538.00391828,724.177018242309,,254.91515451,,
2015-05-02,118.10597837,,,,,,,,,,,,,151.69836783,,238.36071545,64.70475013,,,,,,,,,,,,,,,,,,,,,,,109.54329179,469.02990147,,,,,,,,,,,,,,,,,,,,,,,,251600.0,233.06664701,,1196.68313453,4490.895535663067,,138.56866207,,
2015-05-03,88.18943503,,,,,,,,,,,,,114.74603137,,116.81200383,60.37068963,,,,,,,,,,,,,,,,,,,,,,,42.41276229,6812.77811733,,,,,,,,,,,,,,,,,,,,,,,,176.552587913448,195.44047624,,386.86644939,623.073727567397,,147.37553511,,
2015-05-04,66.41398551,,,,,,,,,,,,,120.06933379,,247.17147822,94.15825543,,,,,,,,,,,,,,,,,,,,,,,40.66049953,437.77234218,,,,,,,,,,,,,,,,,,,,,,,,22568.940673002333,109.1654697,,297.61500157,824.46341127115,,82.54154419,,
2015-05-05,70.95955236,,,,,,,,,,,,,108.93936651,,85.0964559,63.28579489,,,,,,,,,,,,,,,,,,,,,,,46.95621307,1199.18600467,,,,,,,,,,,,,,,,,,,,,,,,4650.755322147677,100.06537513,,375.3662263,352.998763506712,,95.97119693,,
2015-05-06,72.72283917,,,,,,,,,,,,,129.29310615,,173.57410671,74.69951185,,,,,,,,,,,,,,,,,,,,,,,69.91495403,4310022.97142857,,,,,,,,,,,,,,,,,,,,,,,,26546.022688657693,56.67007615,,642.69908942,546.808899076268,,123.04227567,,
2015-05-07,68.25996527,,,,,,,,,,,,,125.58584925,,154.79082388,77.22848795,,,,,,,,,,,,,,,,,,,,,,,49.82397407,843.57449997,,,,,,,,,,,,,,,,,,,,,,,,2039.800198648666,191.46643232,,417.413212,374.174314415837,,223.59116205,,
2015-05-08,69.30957118,,,,,,,,,,,,,110.74418694,,54.40520362,109.95333352,,,,,,,,,,,,,,,,,,,,,,,38.18565925,427.87554566,,,,,,,,,,,,,,,,,,,,,,,,188.337828487802,295.68020779,,1303.55706158,1117.352966875363,,626.24665541,,
2015-05-09,80.48473748,,,,,,,,,,,,,119.4547704,,58.81306555,65.13930827,,,,,,,,,,,,,,,,,,,,,,,48.86150785,446.19238573,,,,,,,,,,,,,,,,,,,,,,,,2205.450528697683,344.28112996,,2810.95226468,707.452459812168,,104.47967155,,
2015-05-10,97.60446342,,,,,,,,,,,,,194.43967905,,164.36951742,93.70994076,,,,,,,,,,,,,,,,,,,,,,,41.13722992,970.35956396,,,,,,,,,,,,,,,,,,,,,,,,51.514652160761,103.12040938,,238.89129334,680.134557446045,,670.25903342,,
2015-05-11,67.4069204,,,,,,,,,,,,,92.19824914,,159.8590943,31.7785927,,,,,,,,,,,,,,,,,,,,,,,50.56483701,6271.33965245,,,,,,,,,,,,,,,,,,,,,,,,247.686552470959,184.35841437,,326.95848624,898.120839986238,,596.83638214,,
2015-05-12,61.15133407,,,,,,,,,,,,,136.77251195,,91.20564493,29.43845444,,,,,,,,,,,,,,,,,,,,,,,46.66380386,1838.82171387,,,,,,,,,,,,,,,,,,,,,,,,251600.0,88.3780845,,645.63656118,96.864602646455,,228.2623677,,
2015-05-13,64.18225719,,,,,,,,,,,,,133.04377095,,466.22070046,38.24194645,,,,,,,,,,,,,,,,,,,,,,,37.23768481,322.95068668,,,,,,,,,,,,,,,,,,,,,,,,110.929528541637,112.77824158,,468.73974579,272.783163590506,,87.24709116,,
2015-05-14,67.85209095,,,,,,,,,,,,,155.42190993,,208.88310563,53.32543386,,,,,,,,,,,,,,,,,,,,,,,69.20894492,1094.61033241,,,,,,,,,,,,,,,,,,,,,,,,67.904381763816,35.34097705,,513.85991892,268.079507610431,,1103.74020583,,
